product_id,onsale_web,price,stock_quantity,stock_status,sku,total_sales,post_date,post_title,post_name,post_modified,_merge,poids,Région,Domaine,Appellation,Couleur,Millésime,Contenance,Degré d'alcool
4407,True,104.0,6,True,3509,1.0,2018-03-22 11:49:53,Cognac Frapin Cigar Blend,cognac-frapin-cigar-blend,2020-07-04 09:45:03,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,40%
4404,True,108.5,2,True,3507,2.0,2018-03-22 11:32:55,Cognac Frapin Château de Fontpinot XO,cognac-frapin-fontpinot-xo,2020-08-12 09:30:16,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,41%
4404,True,108.5,2,True,3507,2.0,2018-03-22 11:32:55,Cognac Frapin Château de Fontpinot XO,cognac-frapin-fontpinot-xo,2020-08-12 09:30:16,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,41%
4402,True,176.0,8,True,3510,13.0,2018-03-22 11:21:05,Cognac Frapin VIP XO,cognac-frapin-vip-xo,2020-08-22 11:35:03,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,40%
4402,True,176.0,8,True,3510,13.0,2018-03-22 11:21:05,Cognac Frapin VIP XO,cognac-frapin-vip-xo,2020-08-22 11:35:03,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,40%
4401,True,62.5,1,True,3506,1.0,2018-03-22 11:13:24,Cognac Frapin VSOP,cognac-frapin-vsop,2020-08-04 09:30:14,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,40%
4401,True,62.5,1,True,3506,1.0,2018-03-22 11:13:24,Cognac Frapin VSOP,cognac-frapin-vsop,2020-08-04 09:30:14,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,40%
5932,True,59.9,3,True,523,0.0,2019-04-06 15:25:58,Cognac Normandin Mercier VFC,cognac-normandin-mercier-vfc,2020-08-12 16:45:03,both,1.5 kg,,,Cognac,,0,70cl,40%
5932,True,59.9,3,True,523,0.0,2019-04-06 15:25:58,Cognac Normandin Mercier VFC,cognac-normandin-mercier-vfc,2020-08-12 16:45:03,both,1.5 kg,,,Cognac,,0,70cl,40%
5892,True,191.3,10,True,14983,3.0,2019-03-28 10:21:36,Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016,coteaux-champenois-egly-ouriet-ambonnay-rouge-2016,2020-04-01 09:30:09,both,1.5 kg,Champagne,Egly-Ouriet,Coteaux Champenois,Rouge,0,75cl,"12,50%"
5892,True,191.3,10,True,14983,3.0,2019-03-28 10:21:36,Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016,coteaux-champenois-egly-ouriet-ambonnay-rouge-2016,2020-04-01 09:30:09,both,1.5 kg,Champagne,Egly-Ouriet,Coteaux Champenois,Rouge,0,75cl,"12,50%"
4227,True,12.6,49,True,15261,6.0,2018-02-16 14:53:33,La Cotelleraie Saint-Nicolas-de-Bourgueil La Croisée 2018,cotelleraie-saint-nicolas-croisee-2018,2020-08-14 10:15:02,both,1.5 kg,Vallée de la Loire,Domaine de La Cotelleraie,Saint-Nicolas-De-Bourgueil,Rouge,2019,75cl,"12,50%"
4227,True,12.6,49,True,15261,6.0,2018-02-16 14:53:33,La Cotelleraie Saint-Nicolas-de-Bourgueil La Croisée 2018,cotelleraie-saint-nicolas-croisee-2018,2020-08-14 10:15:02,both,1.5 kg,Vallée de la Loire,Domaine de La Cotelleraie,Saint-Nicolas-De-Bourgueil,Rouge,2019,75cl,"12,50%"
